transaction_id,investor_id,amfi_code,transaction_date,transaction_type,amount,units,state,kyc_status
1,10008,100004,2025-02-03,REDEMPTION,88755.24,52.711,DL,Pending
2,10012,100019,2025-01-22,LUMPSUM,45205.02,145.902,WB,Verified
3,10077,100023,2025-02-17,SIP,1722.91,196.82,KA,N
4,10020,100010,2025-01-25,SIP,8809.45,114.236,MH,Y
5,10117,100023,2025-01-01,LUMPSUM,31863.08,19.842,TN,Y
6,10185,100020,2025-03-30,LUMPSUM,44273.0,160.616,KA,Verified
7,10058,100031,2025-02-13,REDEMPTION,58315.2,100.776,TN,Verified
8,10184,100037,2025-02-02,LUMPSUM,54736.54,327.115,TS,Failed
9,10112,100009,2025-02-27,REDEMPTION,59059.62,314.522,TS,Failed
10,10063,100001,2025-02-01,SIP,43071.51,57.62,KA,N
11,10161,100031,2025-01-31,LUMPSUM,41638.56,307.04,TS,Failed
12,10134,100002,2025-03-15,REDEMPTION,49178.99,129.183,DL,N
13,10160,100012,2025-01-22,REDEMPTION,52895.6,242.846,KA,N
14,10017,100033,2025-02-03,SIP,21488.92,305.351,DL,Pending
15,10167,100009,2025-08-01,REDEMPTION,81701.92,295.783,KA,Verified
16,10043,100003,2025-03-18,LUMPSUM,21714.79,6.688,GJ,Failed
17,10044,100003,2025-12-03,LUMPSUM,59859.24,22.713,MH,Failed
18,10040,100030,2025-02-13,LUMPSUM,98102.15,452.59,DL,N
19,10182,100009,2025-06-02,LUMPSUM,47779.06,430.195,TN,Verified
20,10143,100012,2025-01-02,REDEMPTION,13373.91,334.549,WB,Y
21,10153,100008,2025-02-16,LUMPSUM,77339.46,265.896,TS,N
22,10116,100029,2025-08-02,LUMPSUM,81373.01,338.549,TN,N
23,10048,100016,2025-02-21,LUMPSUM,23708.05,351.168,WB,N
24,10080,100004,2025-09-03,SIP,18741.8,264.745,GJ,Verified
25,10146,100016,2025-03-25,REDEMPTION,61228.76,88.951,KA,Failed
26,10078,100016,2025-06-02,LUMPSUM,50596.27,25.695,KA,Verified
27,,100000,2025-02-01,LUMPSUM,73439.32,452.551,DL,Y
28,10153,100026,2025-03-30,LUMPSUM,74273.2,122.845,MH,N
29,10053,100002,2025-04-03,LUMPSUM,23113.91,11.892,MH,Failed
30,10156,100039,2025-03-25,LUMPSUM,44759.38,96.976,KA,Pending
31,10065,100003,2025-02-02,LUMPSUM,59173.98,125.302,WB,Failed
32,10022,100011,2025-09-02,REDEMPTION,22038.62,179.971,KA,N
33,10102,100012,2025-06-03,SIP,40060.69,218.45,DL,Y
34,10122,100016,2025-03-19,REDEMPTION,41851.84,265.646,TN,Pending
35,10170,100006,2025-12-01,REDEMPTION,72326.23,443.125,GJ,N
36,10172,100019,2025-03-18,REDEMPTION,17685.47,310.859,GJ,N
