date,amfi_code,nav
2025-01-01,100000,56.2208
2025-01-02,100000,56.2208
2025-01-03,100000,55.8178
2025-01-04,100000,55.8178
2025-01-05,100000,55.8178
2025-01-06,100000,55.7989
2025-01-07,100000,56.2915
2025-01-08,100000,57.2618
2025-01-09,100000,57.8151
2025-01-10,100000,57.9738
2025-01-11,100000,58.2669
2025-01-12,100000,59.1785
2025-01-13,100000,58.5989
2025-01-14,100000,59.5484
2025-01-15,100000,58.7159
2025-01-16,100000,59.5672
2025-01-17,100000,60.2165
2025-01-18,100000,60.7042
2025-01-19,100000,60.6702
2025-01-20,100000,60.6702
2025-01-21,100000,61.0787
2025-01-22,100000,61.4865
2025-01-23,100000,62.2466
2025-01-24,100000,62.2683
2025-01-25,100000,61.4905
2025-01-26,100000,61.4905
2025-01-27,100000,61.2708
2025-01-28,100000,61.7019
2025-01-29,100000,61.8844
2025-01-30,100000,62.6289
2025-01-31,100000,63.4048
2025-02-01,100000,63.4048
2025-02-02,100000,63.5107
2025-02-03,100000,63.3666
2025-02-04,100000,62.7434
2025-02-05,100000,61.8967
2025-02-06,100000,61.0296
2025-02-07,100000,61.0296
2025-02-08,100000,61.3717
2025-02-09,100000,60.7816
2025-02-10,100000,59.9134
2025-02-11,100000,60.4846
2025-02-12,100000,61.351
2025-02-13,100000,62.335
2025-02-14,100000,63.0895
2025-02-15,100000,63.0895
2025-02-16,100000,63.2935
2025-02-17,100000,62.5186
2025-02-18,100000,61.8259
2025-02-19,100000,61.8632
2025-02-20,100000,61.8632
2025-02-21,100000,61.8632
2025-02-22,100000,62.6157
2025-02-23,100000,63.1687
2025-02-24,100000,63.3694
2025-02-25,100000,63.4242
2025-02-26,100000,64.1367
2025-02-27,100000,63.3478
2025-02-28,100000,63.3478
2025-03-01,100000,63.2096
2025-03-02,100000,62.5283
2025-03-03,100000,61.777
2025-03-04,100000,61.2032
2025-03-05,100000,61.2075
2025-03-06,100000,60.5369
2025-03-07,100000,59.6617
2025-03-08,100000,58.8944
2025-03-09,100000,59.4794
2025-03-10,100000,59.8135
2025-03-11,100000,59.9359
2025-03-12,100000,60.5994
2025-03-13,100000,61.5493
2025-03-14,100000,61.8347
2025-03-15,100000,61.2486
2025-03-16,100000,62.1885
2025-03-17,100000,62.1698
2025-03-18,100000,61.7257
2025-03-19,100000,62.3238
2025-03-20,100000,62.9941
2025-03-21,100000,63.7749
2025-03-22,100000,63.1868
2025-03-23,100000,63.1868
2025-03-24,100000,63.1637
2025-03-25,100000,63.3853
2025-03-26,100000,63.3853
2025-03-27,100000,63.8284
2025-03-28,100000,63.8284
2025-03-29,100000,64.6635
2025-03-30,100000,64.6635
2025-03-31,100000,64.8251
2025-01-01,100001,107.1306
2025-01-02,100001,107.4191
2025-01-03,100001,108.0539
2025-01-04,100001,107.2812
2025-01-05,100001,106.9333
2025-01-06,100001,107.3892
2025-01-07,100001,107.5128
2025-01-08,100001,108.1857
2025-01-09,100001,107.8912
2025-01-10,100001,107.8912
2025-01-11,100001,108.8241
2025-01-12,100001,108.3088
2025-01-13,100001,108.6963
2025-01-14,100001,108.502
2025-01-15,100001,107.6396
2025-01-16,100001,108.2718
2025-01-17,100001,109.2647
2025-01-18,100001,109.2647
2025-01-19,100001,109.2299
2025-01-20,100001,110.2069
2025-01-21,100001,109.8394
2025-01-22,100001,110.0738
2025-01-23,100001,109.4273
2025-01-24,100001,109.4273
2025-01-25,100001,109.7019
2025-01-26,100001,109.99
2025-01-27,100001,109.3705
2025-01-28,100001,110.1964
2025-01-29,100001,110.6383
2025-01-30,100001,110.0338
2025-01-31,100001,110.528
2025-02-01,100001,110.3139
2025-02-02,100001,110.1219
2025-02-03,100001,109.5141
2025-02-04,100001,108.6457
2025-02-05,100001,108.1631
2025-02-06,100001,108.1631
2025-02-07,100001,108.8852
2025-02-08,100001,108.5523
2025-02-09,100001,109.1379
2025-02-10,100001,109.6227
2025-02-11,100001,110.5946
2025-02-12,100001,110.8407
2025-02-13,100001,111.4668
2025-02-14,100001,111.5645
2025-02-15,100001,110.6612
2025-02-16,100001,110.5053
2025-02-17,100001,111.3413
2025-02-18,100001,111.6106
2025-02-19,100001,110.9306
2025-02-20,100001,111.4255
2025-02-21,100001,111.7419
2025-02-22,100001,111.0873
2025-02-23,100001,111.0873
2025-02-24,100001,110.9669
2025-02-25,100001,111.604
2025-02-26,100001,111.4944
2025-02-27,100001,111.4944
2025-02-28,100001,111.8748
2025-03-01,100001,112.1685
2025-03-02,100001,111.9739
2025-03-03,100001,112.8708
2025-03-04,100001,112.6707
2025-03-05,100001,111.7317
2025-03-06,100001,111.2784
2025-03-07,100001,110.2859
2025-03-08,100001,109.6142
2025-03-09,100001,109.6142
2025-03-10,100001,110.1103
2025-03-11,100001,110.1103
2025-03-12,100001,109.8939
2025-03-13,100001,109.0945
2025-03-14,100001,110.0663
2025-03-15,100001,109.0901
2025-03-16,100001,109.7056
2025-03-17,100001,110.1112
2025-03-18,100001,109.1209
2025-03-19,100001,109.6738
2025-03-20,100001,109.4176
2025-03-21,100001,109.4176
2025-03-22,100001,109.9549
2025-03-23,100001,109.9456
2025-03-24,100001,109.9456
2025-03-25,100001,109.3311
2025-03-26,100001,108.5493
2025-03-27,100001,108.2593
2025-03-28,100001,107.3224
2025-03-29,100001,107.2309
2025-03-30,100001,106.7294
2025-01-01,100002,12.8766
2025-01-02,100002,12.1691
2025-01-03,100002,11.9393
2025-01-04,100002,11.9393
2025-01-05,100002,12.1845
2025-01-06,100002,12.8875
2025-01-07,100002,12.1419
2025-01-08,100002,11.5537
2025-01-09,100002,10.6238
2025-01-10,100002,9.8572
2025-01-11,100002,10.4307
2025-01-12,100002,10.2393
2025-01-13,100002,10.2393
2025-01-14,100002,10.8954
2025-01-15,100002,10.1818
2025-01-16,100002,10.6564
2025-01-17,100002,10.6564
2025-01-18,100002,9.8098
2025-01-19,100002,9.8098
2025-01-20,100002,9.609
2025-01-21,100002,9.743
2025-01-22,100002,9.743
2025-01-23,100002,9.7351
2025-01-24,100002,10.2949
2025-01-25,100002,11.0566
2025-01-26,100002,10.8728
2025-01-27,100002,11.4432
2025-01-28,100002,11.4204
2025-01-29,100002,11.1981
2025-01-30,100002,11.3557
2025-01-31,100002,11.5497
2025-02-01,100002,12.187
2025-02-02,100002,12.6511
2025-02-03,100002,12.9866
2025-02-04,100002,12.5538
2025-02-05,100002,12.5474
2025-02-06,100002,12.1977
2025-02-07,100002,12.1977
2025-02-08,100002,12.8261
2025-02-09,100002,13.639
2025-02-10,100002,14.2858
2025-02-11,100002,14.3764
2025-02-12,100002,13.4506
2025-02-13,100002,14.1994
2025-02-14,100002,14.639
