amfi_code,expense_ratio,return_1y,return_3y,return_5y
100000,1.04,27.22,9.64,11.58
100001,2.23,30.07,21.1,21.26
100003,1.39,6.05,18.12,13.06
100004,1.77,17.19,15.94,16.26
100005,0.54,31.2,23.8,10.23
100006,0.1,34.0,8.48,19.9
100007,0.56,13.21,14.55,21.74
100008,2.35,34.29,24.73,18.28
100010,2.03,14.71,11.03,21.98
100011,2.38,34.18,24.05,20.86
100013,1.02,10.24,18.66,15.85
100014,0.83,32.81,24.79,20.39
100015,0.94,13.99,10.37,21.05
100016,0.46,17.535,12.42,12.99
100017,2.11,33.5,11.83,11.74
100018,0.94,9.42,13.09,12.61
100019,0.29,7.4,14.06,18.23
100021,0.2,15.92,17.55,15.37
100023,1.91,24.41,9.34,12.31
100025,0.26,10.46,15.95,11.14
100026,1.97,17.68,18.38,10.43
100028,2.48,5.63,16.76,18.89
100029,2.04,12.57,19.98,19.66
100030,2.17,32.77,9.66,12.16
100031,0.98,24.19,22.11,15.42
100032,1.11,12.22,9.69,19.52
100033,0.36,30.77,20.17,14.95
100034,2.32,5.86,20.44,15.54
100035,0.69,9.49,11.52,14.9
100036,0.19,9.91,10.06,17.19
100037,2.27,17.39,15.11,10.5
100038,0.4,5.04,13.96,12.03
100039,1.28,19.1,17.35,21.81
